pack,id,english,german,turkish,scene
greetings,greetings_001,Hello!,Hallo!,Merhaba!,Two children smiling and waving at each other
greetings,greetings_002,Hi!,Hi!,Selam!,A child raising a hand to say a casual hi
greetings,greetings_003,Good morning!,Guten Morgen!,Günaydın!,A child stretching by a sunny window in the morning
greetings,greetings_004,Good afternoon!,Guten Tag!,İyi günler!,Two people greeting under a bright midday sun
greetings,greetings_005,Good evening!,Guten Abend!,İyi akşamlar!,People greeting as the sun sets in the evening
greetings,greetings_006,Good night!,Gute Nacht!,İyi geceler!,A child in pajamas waving under a starry sky
greetings,greetings_007,Goodbye!,Auf Wiedersehen!,Hoşça kal!,A child waving while leaving through a door
greetings,greetings_008,Bye!,Tschüss!,Güle güle!,A child waving goodbye from a window
greetings,greetings_009,See you later!,Bis später!,Sonra görüşürüz!,Two friends waving as they walk in different directions
greetings,greetings_010,See you tomorrow!,Bis morgen!,Yarın görüşürüz!,A child waving at the school gate at the end of the day
greetings,greetings_011,How are you?,Wie geht es dir?,Nasılsın?,"One child asking another with a friendly, curious face"
greetings,greetings_012,"I'm fine, thank you.","Mir geht es gut, danke.","İyiyim, teşekkürler.",A smiling child giving a thumbs up
greetings,greetings_013,What's your name?,Wie heißt du?,Adın ne?,A child pointing curiously while asking another child
greetings,greetings_014,My name is Anna.,Ich heiße Anna.,Benim adım Anna.,A child pointing to a name tag on their shirt
greetings,greetings_015,Nice to meet you.,"Schön, dich kennenzulernen.",Tanıştığımıza memnun oldum.,Two children shaking hands and smiling for the first time
greetings,greetings_016,Welcome!,Willkommen!,Hoş geldin!,A child opening a door with open arms to greet a guest
greetings,greetings_017,Thank you!,Danke!,Teşekkür ederim!,A child happily receiving a gift and saying thanks
greetings,greetings_018,You're welcome.,Bitte.,Rica ederim.,A child smiling kindly after helping someone
greetings,greetings_019,Please.,Bitte.,Lütfen.,A child asking politely with hands together
greetings,greetings_020,Excuse me.,Entschuldigung.,Affedersin.,A child gently tapping someone's shoulder to get attention
greetings,greetings_021,I'm sorry.,Es tut mir leid.,Özür dilerim.,A child apologizing with a sorry expression
greetings,greetings_022,Yes.,Ja.,Evet.,A child nodding with a happy yes
greetings,greetings_023,No.,Nein.,Hayır.,A child shaking their head to say no
greetings,greetings_024,Maybe.,Vielleicht.,Belki.,A child shrugging with an unsure expression
greetings,greetings_025,How old are you?,Wie alt bist du?,Kaç yaşındasın?,A child asking another while holding up fingers
greetings,greetings_026,I am five years old.,Ich bin fünf Jahre alt.,Ben beş yaşındayım.,A child proudly holding up five fingers
greetings,greetings_027,Where are you from?,Woher kommst du?,Nerelisin?,A child pointing at a world map and asking another
greetings,greetings_028,Have a nice day!,Schönen Tag noch!,İyi günler dilerim!,A child waving cheerfully under a bright sky
greetings,greetings_029,Take care!,Pass auf dich auf!,Kendine iyi bak!,A child waving warmly as a friend leaves
greetings,greetings_030,See you soon!,Bis bald!,Yakında görüşürüz!,Two friends waving with happy faces as they part
greetings,greetings_031,Let's say hello.,Lass uns Hallo sagen.,Hadi merhaba diyelim.,A child encouraging a shy friend to wave hello
greetings,greetings_032,Wave your hand.,Wink mit der Hand.,Elini salla.,A child waving one hand in the air
