story_id,image_id,emoji,en,tr,scene
first_day,first_day_n1,🏫,Today is your first day at kindergarten!,Bugün kreşteki ilk günün!,"Kindergarten story ""The First Day"" — Today is your first day at kindergarten!"
first_day,first_day_n2,👧,A new friend says hi to you.,Yeni bir arkadaş sana selam veriyor.,"Kindergarten story ""The First Day"" — A new friend says hi to you."
first_day,first_day_n3,🧑‍🏫,The teacher asks your name.,Öğretmen adını soruyor.,"Kindergarten story ""The First Day"" — The teacher asks your name."
first_day,first_day_n4,🧥,Someone helps you hang your coat.,Biri montunu asmana yardım ediyor.,"Kindergarten story ""The First Day"" — Someone helps you hang your coat."
first_day,first_day_n5,🤔,You don't understand a word.,Bir kelimeyi anlamıyorsun.,"Kindergarten story ""The First Day"" — You don't understand a word."
first_day,first_day_n6,👋,Time to wave goodbye to Mom.,Anneye el sallama vakti.,"Kindergarten story ""The First Day"" — Time to wave goodbye to Mom."
breakfast,breakfast_n1,🪑,Everyone sits down for breakfast.,Herkes kahvaltı için oturuyor.,"Kindergarten story ""Breakfast"" — Everyone sits down for breakfast."
breakfast,breakfast_n2,🥛,You are thirsty too.,Sen de susadın.,"Kindergarten story ""Breakfast"" — You are thirsty too."
breakfast,breakfast_n3,💧,You ask for some water.,Biraz su istiyorsun.,"Kindergarten story ""Breakfast"" — You ask for some water."
breakfast,breakfast_n4,🍎,There are apples on the table.,Masada elmalar var.,"Kindergarten story ""Breakfast"" — There are apples on the table."
breakfast,breakfast_n5,🙂,You would like a little more.,Biraz daha istiyorsun.,"Kindergarten story ""Breakfast"" — You would like a little more."
breakfast,breakfast_n6,😌,Now you are full and happy.,Artık doydun ve mutlusun.,"Kindergarten story ""Breakfast"" — Now you are full and happy."
playing,playing_n1,🧒,Children are playing with blocks.,Çocuklar bloklarla oynuyor.,"Kindergarten story ""Playing Together"" — Children are playing with blocks."
playing,playing_n2,🤝,Let's play together!,Hadi birlikte oynayalım!,"Kindergarten story ""Playing Together"" — Let's play together!"
playing,playing_n3,🔄,Now it's your turn.,Şimdi sıra sende.,"Kindergarten story ""Playing Together"" — Now it's your turn."
playing,playing_n4,👉,Give your friend a turn too.,Arkadaşına da sıra ver.,"Kindergarten story ""Playing Together"" — Give your friend a turn too."
playing,playing_n5,🤗,Sharing makes it more fun.,Paylaşmak daha eğlenceli yapar.,"Kindergarten story ""Playing Together"" — Sharing makes it more fun."
playing,playing_n6,✋,Someone pushes. Tell them to stop.,Biri itiyor. Ona dur de.,"Kindergarten story ""Playing Together"" — Someone pushes. Tell them to stop."
bathroom,bathroom_n1,😬,"Uh oh, you need the bathroom.","Eyvah, tuvalete gitmen lazım.","Kindergarten story ""The Bathroom"" — Uh oh, you need the bathroom."
bathroom,bathroom_n2,❓,But where is it?,Ama neresi acaba?,"Kindergarten story ""The Bathroom"" — But where is it?"
bathroom,bathroom_n3,🧑‍🏫,Ask the teacher for help.,Öğretmenden yardım iste.,"Kindergarten story ""The Bathroom"" — Ask the teacher for help."
bathroom,bathroom_n4,🧼,Now your hands are clean.,Artık ellerin temiz.,"Kindergarten story ""The Bathroom"" — Now your hands are clean."
bathroom,bathroom_n5,😊,You feel much better.,Kendini çok daha iyi hissediyorsun.,"Kindergarten story ""The Bathroom"" — You feel much better."
bathroom,bathroom_n6,🙏,Say thank you to the teacher.,Öğretmene teşekkür et.,"Kindergarten story ""The Bathroom"" — Say thank you to the teacher."
unwell,unwell_n1,😟,Your tummy hurts.,Karnın ağrıyor.,"Kindergarten story ""Feeling Unwell"" — Your tummy hurts."
unwell,unwell_n2,🧑‍🏫,Tell the teacher you need help.,Öğretmene yardıma ihtiyacın olduğunu söyle.,"Kindergarten story ""Feeling Unwell"" — Tell the teacher you need help."
unwell,unwell_n3,🤕,Maybe your head hurts too.,Belki başın da ağrıyor.,"Kindergarten story ""Feeling Unwell"" — Maybe your head hurts too."
unwell,unwell_n4,🤢,You feel sick.,Kendini hasta hissediyorsun.,"Kindergarten story ""Feeling Unwell"" — You feel sick."
unwell,unwell_n5,🥺,You miss your mom.,Anneni özlüyorsun.,"Kindergarten story ""Feeling Unwell"" — You miss your mom."
unwell,unwell_n6,🏠,You want to go home.,Eve gitmek istiyorsun.,"Kindergarten story ""Feeling Unwell"" — You want to go home."
lunch,lunch_n1,🍽️,It is lunch time.,Öğle yemeği vakti.,"Kindergarten story ""Lunch Time"" — It is lunch time."
lunch,lunch_n2,🧼,Wash your hands before eating.,Yemekten önce ellerini yıka.,"Kindergarten story ""Lunch Time"" — Wash your hands before eating."
lunch,lunch_n3,🍴,Use your fork nicely.,Çatalını güzelce kullan.,"Kindergarten story ""Lunch Time"" — Use your fork nicely."
lunch,lunch_n4,🙂,"It's so good — a little more, please.","Çok güzel — biraz daha, lütfen.","Kindergarten story ""Lunch Time"" — It's so good — a little more, please."
lunch,lunch_n5,✅,You are finished.,Bitirdin.,"Kindergarten story ""Lunch Time"" — You are finished."
lunch,lunch_n6,🙏,Say thank you for the food.,Yemek için teşekkür et.,"Kindergarten story ""Lunch Time"" — Say thank you for the food."
outside,outside_n1,☀️,Time to play outside!,Dışarıda oynama vakti!,"Kindergarten story ""Playing Outside"" — Time to play outside!"
outside,outside_n2,🏃,Let's run fast!,Hadi hızlı koşalım!,"Kindergarten story ""Playing Outside"" — Let's run fast!"
outside,outside_n3,🛝,Climb up and go down the slide.,Yukarı çık ve kaydıraktan kay.,"Kindergarten story ""Playing Outside"" — Climb up and go down the slide."
outside,outside_n4,⚠️,Be careful near the swing.,Salıncağın yanında dikkatli ol.,"Kindergarten story ""Playing Outside"" — Be careful near the swing."
outside,outside_n5,🙋,Wait for me!,Beni bekle!,"Kindergarten story ""Playing Outside"" — Wait for me!"
outside,outside_n6,😄,That was so much fun!,Çok eğlenceliydi!,"Kindergarten story ""Playing Outside"" — That was so much fun!"
tidy_up,tidy_up_n1,🧸,Playtime is over. Time to clean up.,Oyun bitti. Toplanma vakti.,"Kindergarten story ""Tidy Up"" — Playtime is over. Time to clean up."
tidy_up,tidy_up_n2,🔄,Let's take turns putting toys away.,Oyuncakları sırayla toplayalım.,"Kindergarten story ""Tidy Up"" — Let's take turns putting toys away."
tidy_up,tidy_up_n3,✋,That toy is yours.,O oyuncak senin.,"Kindergarten story ""Tidy Up"" — That toy is yours."
tidy_up,tidy_up_n4,🤲,Please give it back.,Lütfen geri ver.,"Kindergarten story ""Tidy Up"" — Please give it back."
tidy_up,tidy_up_n5,🧩,Be gentle with the toys.,Oyuncaklara nazik ol.,"Kindergarten story ""Tidy Up"" — Be gentle with the toys."
tidy_up,tidy_up_n6,✅,All done!,Hepsi bitti!,"Kindergarten story ""Tidy Up"" — All done!"
new_friends,new_friends_n1,👋,You meet a new friend.,Yeni bir arkadaşla tanışıyorsun.,"Kindergarten story ""New Friends"" — You meet a new friend."
new_friends,new_friends_n2,❓,Ask their name.,Adını sor.,"Kindergarten story ""New Friends"" — Ask their name."
new_friends,new_friends_n3,🙂,Tell them your name.,Ona adını söyle.,"Kindergarten story ""New Friends"" — Tell them your name."
new_friends,new_friends_n4,😊,Nice to meet you!,Tanıştığımıza memnun oldum!,"Kindergarten story ""New Friends"" — Nice to meet you!"
new_friends,new_friends_n5,🧩,Invite them to play.,Onları oynamaya çağır.,"Kindergarten story ""New Friends"" — Invite them to play."
new_friends,new_friends_n6,🤝,Let's be friends!,Arkadaş olalım!,"Kindergarten story ""New Friends"" — Let's be friends!"
going_home,going_home_n1,🥱,The day is over and you are tired.,Gün bitti ve yorgunsun.,"Kindergarten story ""Going Home"" — The day is over and you are tired."
going_home,going_home_n2,🧥,Put on your coat.,Montunu giy.,"Kindergarten story ""Going Home"" — Put on your coat."
going_home,going_home_n3,🧑‍🏫,Say bye to your teacher.,Öğretmenine güle güle de.,"Kindergarten story ""Going Home"" — Say bye to your teacher."
going_home,going_home_n4,👋,Say bye to your friends.,Arkadaşlarına güle güle de.,"Kindergarten story ""Going Home"" — Say bye to your friends."
going_home,going_home_n5,🙏,Thank you for a fun day!,Eğlenceli bir gün için teşekkürler!,"Kindergarten story ""Going Home"" — Thank you for a fun day!"
going_home,going_home_n6,🌙,See you tomorrow!,Yarın görüşürüz!,"Kindergarten story ""Going Home"" — See you tomorrow!"
